Model,Senorita,Yo-Yo Ma Cello Suite No. 1 in G Major,Suge,bad guy,SICKO MODE,Despacito,Cyanide,Buy U a Drank (ShawtySnappin'),My Type,DDU-DU DDU-DU,King of Kings,Autumn Leaves,The Star Wars Theme,The Marriage of Figaro Overture,All I Want for Christmas is You,Can't Take my Eyes off of You,"No Woman, No Cry",William Shatner speaks Rocket Man,Grenade,Country Girl (Shake It For Me),Ransom,Magnolia,FACE,Inside Out,Lovebug,My Shot,Moments Passed,Come Down,Emaline,Say It Ain't So,Der Geist hilft unser Schwachheit auf,Vossi Bop,The Thrill is Gone,How Far I'll Go,My Oh My,Posthumous Forgiveness,Desperado,Sir Duke,Happy Birthday,Star Spangled Banner,God is a woman,God Save the Queen (Queen),O Canada,Kyrie (Mozart Requiem),SLOW DANCING IN THE DARK,Mean It,"A Sea Symphony, Movt 2",Thais Meditation,Bogoroditse Devo
k-NN/euclid/tempo,0.004107971,0.007471307,0.05533982900000001,0.04585333,0.016450232,0.009527813000000001,0.078642377,0.026162371,0.002327188,0.0005598080000000001,0.004245786,0.087357764,0.06560734,0.0050252,0.015786779,0.013110741,0.020686656,0.002954262,0.005014946,0.00175325,0.00889878,0.09428577,0.02052758,0.028864538999999998,0.005819031,0.004699721,0.004244561,0.028446673,0.010706633,0.010820151,0.03961392,0.00034081199999999996,0.0027411140000000002,0.000446816,0.002859577055309498,0.03809483282120677,0.05945003696909621,0.004620331869131066,0.002365544597428183,0.006667936632611407,0.004181035102167156,0.04210746026655556,0.031179028842149112,0.02165635042482301,0.004439883040566416,0.0060782956907954894,0.06400708763570553,0.03384078461057892,0.0364766903680133
k-NN/euclid/no tempo,0.00015332600000000002,0.0009570830000000001,0.000941283,0.011440705,0.000359924,0.000553394,0.0005455,0.0016486060000000002,5.2900000000000005e-05,0.00036176800000000005,8.44e-05,0.002615994,0.002017484,0.000967205,0.00038568,0.000670934,0.002071388,0.00043865099999999997,0.000149434,0.000152577,0.00021607400000000002,0.000409759,0.005341691,0.000130903,0.000600231,0.00032035799999999997,0.00042271400000000003,0.001109786,0.00013945,0.000138219,0.001006058,0.029178047999999998,0.029911659,0.006569991,0.000111276323015384,0.0011182634362240681,0.00014923862976563414,0.0005887794490966271,0.00023605651395252461,0.0006208009162848925,0.00032378982188824854,0.002340057188671388,0.0021233224031653552,0.0015802482673885898,0.00028930290728862933,0.00044854387656545334,0.0026982217604748075,0.00030271456059975134,0.0006528427323615238
k-NN/sim/tempo,0.000804217,0.008852108000000001,0.010914078999999998,0.015858355,0.011921786,0.009744306,0.005271203,0.13088830199999998,0.00019364599999999998,0.012985308999999999,0.006911508,0.026213993999999997,0.007384226,0.0020972820000000002,0.0056683919999999995,0.0009798839999999999,0.015922123,0.003378711,0.005483841,0.002199995,0.002312253,0.001733634,0.051708132000000004,0.008654564,0.059192315,0.000534594,0.028957977000000003,0.020129378,0.00010544200000000001,0.000592933,0.004548305,0.001237131,0.058425069,0.00508559,0.009426665159676781,0.0073826635098008095,0.0024458761794497576,0.013600923052894674,0.005628311010709333,0.000980062578092446,0.00012967539676634745,0.019933070299875073,0.0029315471105983127,0.004742819429404429,0.02507895986021313,0.005177110542588481,0.010987095771095386,0.004186316842982093,0.002229172763681814
k-NN/sim/no tempo,0.00021798099999999999,0.006979892,0.01857577,0.014627817,0.006340729,0.003938837,0.005737648000000001,0.078594879,0.001165988,0.004150119,0.046792169,0.002550935,0.001582931,0.000734002,0.034819302999999996,0.001516096,0.001826705,0.005048642,0.000145661,0.009897579,0.0046949620000000004,0.000132218,0.083133015,0.002886467,0.028596447,0.00041347199999999996,0.01548388,0.058544100999999994,4.4200000000000004e-05,0.022433698999999998,0.00544414,0.006090283,0.055224485999999996,0.011233098,0.002147559259446505,0.049841755967535664,0.0006844168076913655,0.03378321122792584,0.0034890657892544794,0.00044973596834652036,0.023922742908304068,0.022709200587255188,0.0014264196064162785,0.00728912656809664,0.010462998872798288,0.0006548388881737138,0.002345803210703877,0.00039242464806330587,0.0013782338442315711
k-means/k=50/tempo,0.163914974,1.112811973,0.332391292,0.139678084,0.278778505,0.107130893,0.23661849100000001,0.21450121100000002,0.16977612399999997,0.25043339800000003,0.116599066,0.26734170399999996,0.992939645,1.29972797,0.115137592,0.134121871,0.34631330200000005,0.45656832700000005,0.13876374,0.200038515,0.272663835,0.252121496,0.27220630100000004,0.218656543,0.10338819099999999,0.17915509300000002,0.132276165,0.180080975,0.23756570600000002,0.202545153,0.698866615,0.11995469,0.147720312,0.21944470800000002,0.14876584464309214,0.23058441787790768,0.7338337461091667,0.04331644349357104,0.48878075220730843,1.0850558270905408,0.20900078834988037,0.643322471091978,0.42589475804620447,0.9637417986726728,0.07410177842066619,0.17045290640972968,1.2128713404562887,0.8174747498475161,1.160927099031045
k-means/k=50/no tempo,0.13449737,1.121155387,0.391957259,0.144949265,0.157548217,0.06353765900000001,0.263429955,0.17737812,0.160391394,0.299766602,0.10018108699999999,0.289967342,1.000243178,1.3481393,0.171720437,0.075223193,0.351700756,0.442601543,0.112630367,0.193183482,0.240511799,0.26708931,0.239928316,0.23941113600000002,0.11603222699999999,0.23914939,0.145516074,0.15748324,0.137893207,0.16965871300000002,0.637459253,0.166314776,0.132937335,0.33491112300000003,0.16007655648258168,0.28680608293116583,0.7236968799587822,0.05642195410699775,0.39293870923275337,1.0877167441074531,0.1413419822598841,0.9440586441118882,0.5292120803011071,1.284673349818934,0.1416623515908767,0.2039310249077582,1.2321968719584615,0.7301784046193424,1.1419808291633315
